,CR083Q01S,CR083Q02S,CR083Q03S,CR083Q04S,DR442Q02C,DR442Q03C,DR442Q05C,DR442Q06C,CR442Q07S,CR245Q01S,CR245Q02S,CR101Q01S,CR101Q02S,CR101Q03S,CR101Q04S,CR101Q05S
37,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0
38,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0
39,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1
40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
41,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1
42,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1
43,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
44,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0
45,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1
46,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,1
47,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
48,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0
49,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0
50,0,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0
51,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
53,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
54,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0
56,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0
57,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0
58,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0
59,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
60,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
61,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
62,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
63,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
64,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
65,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1
66,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
68,0,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0
69,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0
70,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1
71,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0
72,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1
73,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1
74,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0
75,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0
76,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1
77,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1
78,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1
79,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1
80,1,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0
81,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1
82,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0
83,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
84,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
85,1,1,0,0,0,1,0,1,1,0,1,1,0,1,0,1
86,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0
87,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0
88,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1
89,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
90,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0
91,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1
92,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1
93,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1
94,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0
95,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1
96,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
97,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1
98,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1
99,0,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0
100,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0
101,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1
102,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,0
103,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1
104,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1
105,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
106,1,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0
107,0,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0
108,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
109,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1
110,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0
111,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
112,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1
113,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0
114,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
115,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0
116,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0
117,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0
118,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1
119,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
120,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
121,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1
122,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0
123,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1
124,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
125,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0
126,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0
127,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
128,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
129,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1
130,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1
131,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0
132,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1
133,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1
134,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
135,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1
136,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
137,1,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0
138,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
139,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,0
140,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1
141,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,0
142,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0
143,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
144,1,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0
145,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
146,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
147,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0
148,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0
149,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
150,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1
151,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0
152,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1
153,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0
154,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1
155,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1
156,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0
157,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0
158,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0
159,0,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0
160,1,1,1,1,0,1,0,0,0,0,1,0,1,0,1,1
161,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0
162,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0
163,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0
164,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1
165,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
166,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0
167,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0
168,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1
169,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0
170,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
171,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0
172,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0
173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
174,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1
175,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0
176,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0
177,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1
178,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1
179,1,1,1,0,0,1,0,1,0,0,1,0,1,1,1,0
180,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0
181,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0
182,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0
183,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1
184,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
185,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1
186,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0
187,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1
188,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1
189,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0
190,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
191,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0
192,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
193,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0
194,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,1
195,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1
196,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
197,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
198,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1
199,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0
201,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0
202,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0
203,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0
204,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0
205,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1
206,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0
207,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
208,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
209,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
210,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
211,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1
212,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0
213,0,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1
214,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
215,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0
216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1
218,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0
219,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0
220,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1
221,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
222,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
223,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0
224,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0
225,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1
226,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1
227,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1
228,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
229,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
230,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
231,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0
232,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0
233,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0
234,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0
235,0,1,1,1,0,1,0,0,0,1,1,0,1,1,1,0
236,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
237,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
238,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
239,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
240,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
241,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1
242,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0
243,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0
244,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1
245,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
246,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1
247,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0
248,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,0
249,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0
250,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1
251,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1
252,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
253,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
254,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0
255,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
256,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0
257,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
258,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
259,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
260,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
261,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
262,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
263,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
264,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
265,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1
266,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0
267,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1
268,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0
269,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
270,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
271,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1
272,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
273,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0
274,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
275,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1
276,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
277,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0
278,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
279,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
280,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0
281,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
282,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
283,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1
284,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1
285,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
286,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1
287,0,1,1,0,0,1,0,0,0,1,1,1,1,0,1,1
288,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
289,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0
290,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1
291,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1
292,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0
293,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0
294,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0
295,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0
296,0,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1
297,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,1
298,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
299,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0
300,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1
301,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1
302,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0
303,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
304,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0
305,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
306,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
307,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0
308,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0
309,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0
310,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0
311,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1
312,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1,1
313,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
314,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0
315,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
316,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1
317,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
318,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
319,1,1,1,0,0,1,0,0,1,0,1,0,1,1,1,0
320,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
321,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,1
322,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1
323,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0
324,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0
325,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1
326,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0
327,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1
328,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0
329,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0
330,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
331,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1
332,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1
333,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0
334,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0
335,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1
336,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
337,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,0
338,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1
339,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1
340,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
341,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
342,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
343,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0
344,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1
345,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1
346,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1
347,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0
348,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
349,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0
350,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0
351,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,0
352,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
353,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
354,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1
355,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0
356,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
357,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1
358,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0
359,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0
360,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
361,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1
362,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1
363,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1
364,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1
365,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1
366,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0
367,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0
368,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
369,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0
370,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
371,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1
372,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
373,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1
374,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1
375,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0
376,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
377,0,1,1,0,1,0,0,0,0,1,1,1,1,0,1,1
378,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1
379,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
380,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0
381,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0
382,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
383,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1
384,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
385,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0
386,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0
387,0,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0
388,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,1
389,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
390,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1
391,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0
392,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
393,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
394,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0
395,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
396,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
397,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0
398,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1
399,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
400,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0
401,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
402,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0
403,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0
404,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1
